facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 1,389985,Badminton Court 1 - Saturday  Feb 08 - 7:00 AM,2025-02-08 04:00:00,2025-02-08 05:00:00,1,0,True,False,True,True,True
Badminton Court 2,389986,Badminton Court 2 - Saturday  Feb 08 - 7:00 AM,2025-02-08 04:00:00,2025-02-08 05:00:00,1,0,True,False,True,True,True
Badminton Court 3,389987,Badminton Court 3 - Saturday  Feb 08 - 7:00 AM,2025-02-08 04:00:00,2025-02-08 05:00:00,1,0,True,False,True,True,True
Badminton Court 5,389989,Badminton Court 5 - Saturday  Feb 08 - 7:00 AM,2025-02-08 04:00:00,2025-02-08 05:00:00,1,0,True,False,True,True,True
Badminton Court 6,389990,Badminton Court 6 - Saturday  Feb 08 - 7:00 AM,2025-02-08 04:00:00,2025-02-08 05:00:00,1,0,True,False,True,True,True
Badminton Court 1,389991,Badminton Court 1 - Saturday  Feb 08 - 8:00 AM,2025-02-08 05:00:00,2025-02-08 06:00:00,1,0,True,False,True,True,True
Badminton Court 2,389992,Badminton Court 2 - Saturday  Feb 08 - 8:00 AM,2025-02-08 05:00:00,2025-02-08 06:00:00,1,0,True,False,True,True,True
Badminton Court 3,389993,Badminton Court 3 - Saturday  Feb 08 - 8:00 AM,2025-02-08 05:00:00,2025-02-08 06:00:00,1,0,True,False,True,True,True
Badminton Court 5,389995,Badminton Court 5 - Saturday  Feb 08 - 8:00 AM,2025-02-08 05:00:00,2025-02-08 06:00:00,1,0,True,False,True,True,True
Badminton Court 6,389996,Badminton Court 6 - Saturday  Feb 08 - 8:00 AM,2025-02-08 05:00:00,2025-02-08 06:00:00,1,0,True,False,True,True,True
Badminton Court 1,390039,Badminton Court 1 - Saturday  Feb 08 - 4:00 PM,2025-02-08 13:00:00,2025-02-08 14:00:00,1,0,True,False,True,True,True
Badminton Court 2,390040,Badminton Court 2 - Saturday  Feb 08 - 4:00 PM,2025-02-08 13:00:00,2025-02-08 14:00:00,1,0,True,False,True,True,True
Badminton Court 3,390041,Badminton Court 3 - Saturday  Feb 08 - 4:00 PM,2025-02-08 13:00:00,2025-02-08 14:00:00,1,0,True,False,True,True,True
Badminton Court 5,390043,Badminton Court 5 - Saturday  Feb 08 - 4:00 PM,2025-02-08 13:00:00,2025-02-08 14:00:00,1,0,True,False,True,True,True
Badminton Court 6,390044,Badminton Court 6 - Saturday  Feb 08 - 4:00 PM,2025-02-08 13:00:00,2025-02-08 14:00:00,1,0,True,False,True,True,True
Badminton Court 2,390046,Badminton Court 2 - Saturday  Feb 08 - 5:00 PM,2025-02-08 14:00:00,2025-02-08 15:00:00,1,0,True,False,True,True,True
Badminton Court 3,390047,Badminton Court 3 - Saturday  Feb 08 - 5:00 PM,2025-02-08 14:00:00,2025-02-08 15:00:00,1,0,True,False,True,True,True
Badminton Court 4,390048,Badminton Court 4 - Saturday  Feb 08 - 5:00 PM,2025-02-08 14:00:00,2025-02-08 15:00:00,1,0,True,False,True,True,True
Badminton Court 5,390049,Badminton Court 5 - Saturday  Feb 08 - 5:00 PM,2025-02-08 14:00:00,2025-02-08 15:00:00,1,0,True,False,True,True,True
Badminton Court 6,390050,Badminton Court 6 - Saturday  Feb 08 - 5:00 PM,2025-02-08 14:00:00,2025-02-08 15:00:00,1,0,True,False,True,True,True
Badminton Court 2,390052,Badminton Court 2 - Saturday  Feb 08 - 6:00 PM,2025-02-08 15:00:00,2025-02-08 16:00:00,1,0,True,False,True,True,True
Badminton Court 3,390053,Badminton Court 3 - Saturday  Feb 08 - 6:00 PM,2025-02-08 15:00:00,2025-02-08 16:00:00,1,0,True,False,True,True,True
Badminton Court 4,390054,Badminton Court 4 - Saturday  Feb 08 - 6:00 PM,2025-02-08 15:00:00,2025-02-08 16:00:00,1,0,True,False,True,True,True
Badminton Court 5,390055,Badminton Court 5 - Saturday  Feb 08 - 6:00 PM,2025-02-08 15:00:00,2025-02-08 16:00:00,1,0,True,False,True,True,True
Badminton Court 6,390056,Badminton Court 6 - Saturday  Feb 08 - 6:00 PM,2025-02-08 15:00:00,2025-02-08 16:00:00,1,0,True,False,True,True,True
Badminton Court 2,390058,Badminton Court 2 - Saturday  Feb 08 - 7:00 PM,2025-02-08 16:00:00,2025-02-08 17:00:00,1,0,True,False,True,True,True
Badminton Court 3,390059,Badminton Court 3 - Saturday  Feb 08 - 7:00 PM,2025-02-08 16:00:00,2025-02-08 17:00:00,1,0,True,False,True,True,True
Badminton Court 4,390060,Badminton Court 4 - Saturday  Feb 08 - 7:00 PM,2025-02-08 16:00:00,2025-02-08 17:00:00,1,0,True,False,True,True,True
Badminton Court 5,390061,Badminton Court 5 - Saturday  Feb 08 - 7:00 PM,2025-02-08 16:00:00,2025-02-08 17:00:00,1,0,True,False,True,True,True
Badminton Court 6,390062,Badminton Court 6 - Saturday  Feb 08 - 7:00 PM,2025-02-08 16:00:00,2025-02-08 17:00:00,1,0,True,False,True,True,True
Badminton Court 1,390063,Badminton Court 1 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,1,0,True,False,True,True,True
Badminton Court 2,390064,Badminton Court 2 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,1,0,True,False,True,True,True
Badminton Court 3,390065,Badminton Court 3 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,0,0,True,False,True,True,True
Badminton Court 4,390066,Badminton Court 4 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,0,0,True,False,True,True,True
Badminton Court 5,390067,Badminton Court 5 - Saturday  Feb 08 - 8:00 PM,2025-02-08 17:00:00,2025-02-08 18:00:00,0,0,True,False,True,True,True
